Location,Location Src,Location Url,Population,% of world,Date,Source (official or from the United Nations),Source (official or from the United Nations) Url,Notes,Notes Url
Iran,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/40px-Flag_of_Iran.svg.png,https://en.wikipedia.org/wiki/Iran,"85,961,000",1.1%,20 Mar 2024,Official estimate[21],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-28,,
Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/40px-Flag_of_Turkey.svg.png,https://en.wikipedia.org/wiki/Turkey,"85,664,944",1.0%,31 Dec 2024,Official estimate[22],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-29,,
Germany,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/23px-Flag_of_Germany.svg.png,https://en.wikipedia.org/wiki/Germany,"83,555,478",1.0%,30 Sep 2024,National quarterly estimate[23],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-30,,
France,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/40px-Flag_of_France.svg.png,https://en.wikipedia.org/wiki/France,"68,609,000",0.8%,1 Mar 2025,Monthly national estimate[24],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-31,[h],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-32
United Kingdom,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/40px-Flag_of_the_United_Kingdom.svg.png,https://en.wikipedia.org/wiki/United_Kingdom,"68,265,209",0.8%,1 Jul 2023,Official estimate[25],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-33,[i],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-34
Thailand,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Thailand.svg/23px-Flag_of_Thailand.svg.png,https://en.wikipedia.org/wiki/Thailand,"65,932,105",0.8%,31 Jan 2025,Monthly national estimate[26],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-35,,
South Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/40px-Flag_of_South_Africa.svg.png,https://en.wikipedia.org/wiki/South_Africa,"63,015,904",0.8%,30 Jul 2024,Official estimate[27],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-36,,
Tanzania,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tanzania.svg/40px-Flag_of_Tanzania.svg.png,https://en.wikipedia.org/wiki/Tanzania,"61,741,120",0.8%,23 Aug 2022,2022 census result[28],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-37,[j],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-38
Italy,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/40px-Flag_of_Italy.svg.png,https://en.wikipedia.org/wiki/Italy,"58,934,177",0.7%,31 Dec 2024,Monthly national estimate[29],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-39,,
Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/40px-Flag_of_Colombia.svg.png,https://en.wikipedia.org/wiki/Colombia,"52,695,952",0.6%,1 Jan 2024,Official projection[30],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-40,,
