Location,Location Src,Location Url,Population,% of world,Date,Source (official or from the United Nations),Source (official or from the United Nations) Url,Notes,Notes Url
Burundi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Burundi.svg/40px-Flag_of_Burundi.svg.png,https://en.wikipedia.org/wiki/Burundi,"12,837,740",0.2%,1 Jul 2022,National annual projection[91],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-109,,
Tunisia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/40px-Flag_of_Tunisia.svg.png,https://en.wikipedia.org/wiki/Tunisia,"11,887,412",0.1%,1 Jan 2024,National estimate[92],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-110,,
Haiti,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/40px-Flag_of_Haiti.svg.png,https://en.wikipedia.org/wiki/Haiti,"11,867,032",0.1%,1 Jul 2024,National annual projection[93],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-111,,
Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/40px-Flag_of_Belgium_%28civil%29.svg.png,https://en.wikipedia.org/wiki/Belgium,"11,812,354",0.1%,1 Jan 2025,Official estimate[94],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-112,,
Papua New Guinea,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Flag_of_Papua_New_Guinea.svg/20px-Flag_of_Papua_New_Guinea.svg.png,https://en.wikipedia.org/wiki/Papua_New_Guinea,"11,781,559",0.1%,1 Jul 2021,National estimate[95],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-113,,
Jordan,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/40px-Flag_of_Jordan.svg.png,https://en.wikipedia.org/wiki/Jordan,"11,734,000",0.1%,31 Dec 2024,National estimate[96],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-114,,
Bolivia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Bolivia.svg/40px-Flag_of_Bolivia.svg.png,https://en.wikipedia.org/wiki/Bolivia,"11,312,620",0.1%,23 Mar 2024,2024 census result[97],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-115,,
Cuba,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/40px-Flag_of_Cuba.svg.png,https://en.wikipedia.org/wiki/Cuba,"11,089,511",0.1%,31 Dec 2022,Official estimate[98],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-116,,
Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/40px-Flag_of_the_Czech_Republic.svg.png,https://en.wikipedia.org/wiki/Czech_Republic,"10,909,500",0.1%,31 Dec 2024,Official estimate[99],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-117,,
Dominican Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/40px-Flag_of_the_Dominican_Republic.svg.png,https://en.wikipedia.org/wiki/Dominican_Republic,"10,771,504",0.1%,10 Nov 2022,2022 census result[100],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-118,,
United Arab Emirates,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_United_Arab_Emirates.svg/40px-Flag_of_the_United_Arab_Emirates.svg.png,https://en.wikipedia.org/wiki/United_Arab_Emirates,"10,678,556",0.1%,31 Dec 2023,Official estimate[101],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-119,,
Portugal,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/40px-Flag_of_Portugal.svg.png,https://en.wikipedia.org/wiki/Portugal,"10,639,726",0.1%,31 Dec 2023,2023 estimate[102],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-120,,
Sweden,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/40px-Flag_of_Sweden.svg.png,https://en.wikipedia.org/wiki/Sweden,"10,587,970",0.1%,28 Feb 2025,Monthly national estimate[103],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-121,,
Greece,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/40px-Flag_of_Greece.svg.png,https://en.wikipedia.org/wiki/Greece,"10,400,720",0.1%,1 Jan 2024,Official estimate[104],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-122,,
Tajikistan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Tajikistan.svg/40px-Flag_of_Tajikistan.svg.png,https://en.wikipedia.org/wiki/Tajikistan,"10,277,100",0.1%,1 Jan 2024,Official estimate[105],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-123,,
Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/40px-Flag_of_Azerbaijan.svg.png,https://en.wikipedia.org/wiki/Azerbaijan,"10,218,536",0.1%,1 Nov 2024,Monthly national estimate[106],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-124,,
Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/21px-Flag_of_Israel.svg.png,https://en.wikipedia.org/wiki/Israel,"10,045,100",0.1%,28 Feb 2025,National monthly estimate[107],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-125,[s],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-126
Honduras,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Flag_of_Honduras.svg/40px-Flag_of_Honduras.svg.png,https://en.wikipedia.org/wiki/Honduras,"9,892,632",0.1%,1 Jul 2024,National annual projection[108],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-127,,
Hungary,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/40px-Flag_of_Hungary.svg.png,https://en.wikipedia.org/wiki/Hungary,"9,540,000",0.1%,1 Jan 2025,Official estimate[109],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-128,,
Austria,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/40px-Flag_of_Austria.svg.png,https://en.wikipedia.org/wiki/Austria,"9,198,214",0.1%,1 Jan 2025,National quarterly estimate[110],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-129,,
Belarus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/40px-Flag_of_Belarus.svg.png,https://en.wikipedia.org/wiki/Belarus,"9,109,280",0.1%,1 Jan 2025,Official estimate[111],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-130,,
Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Switzerland_%28Pantone%29.svg/20px-Flag_of_Switzerland_%28Pantone%29.svg.png,https://en.wikipedia.org/wiki/Switzerland,"9,027,859",0.1%,30 Sep 2024,National quarterly estimate[112],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-131,,
Sierra Leone,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_Sierra_Leone.svg/23px-Flag_of_Sierra_Leone.svg.png,https://en.wikipedia.org/wiki/Sierra_Leone,"8,884,032",0.1%,1 Jul 2024,National annual projection[113],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-132,,
Togo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_Togo_%283-2%29.svg/40px-Flag_of_Togo_%283-2%29.svg.png,https://en.wikipedia.org/wiki/Togo,"8,095,498",0.10%,8 Nov 2022,2022 census result[114],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-133,,
Laos,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Laos.svg/40px-Flag_of_Laos.svg.png,https://en.wikipedia.org/wiki/Laos,"7,546,000",0.09%,1 Jul 2023,National annual projection[115],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-134,,
Hong Kong (China),https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Flag_of_Hong_Kong.svg/40px-Flag_of_Hong_Kong.svg.png,https://en.wikipedia.org/wiki/Hong_Kong,"7,534,200",0.09%,31 Dec 2024,National estimate[116],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-135,,
Libya,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Libya.svg/40px-Flag_of_Libya.svg.png,https://en.wikipedia.org/wiki/Libya,"7,381,023",0.09%,1 Jul 2024,UN projection[117],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-136,,
Kyrgyzstan,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Kyrgyzstan.svg/40px-Flag_of_Kyrgyzstan.svg.png,https://en.wikipedia.org/wiki/Kyrgyzstan,"7,161,900",0.09%,1 Jan 2024,Monthly national estimate[118],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-137,,
Turkmenistan,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Turkmenistan.svg/40px-Flag_of_Turkmenistan.svg.png,https://en.wikipedia.org/wiki/Turkmenistan,"7,057,841",0.09%,17 Dec 2022,2022 census result[119],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-138,,
Nicaragua,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Nicaragua.svg/40px-Flag_of_Nicaragua.svg.png,https://en.wikipedia.org/wiki/Nicaragua,"6,803,886",0.08%,30 Jun 2023,Official estimate[120],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-139,,
Serbia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Serbia.svg/40px-Flag_of_Serbia.svg.png,https://en.wikipedia.org/wiki/Serbia,"6,605,168",0.08%,1 Jan 2024,Official estimate[121],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-140,[t],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-141
Central African Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Central_African_Republic.svg/23px-Flag_of_the_Central_African_Republic.svg.png,https://en.wikipedia.org/wiki/Central_African_Republic,"6,470,307",0.08%,1 Jul 2024,National annual projection[122],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-142,,
Bulgaria,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/40px-Flag_of_Bulgaria.svg.png,https://en.wikipedia.org/wiki/Bulgaria,"6,445,481",0.08%,31 Dec 2023,Official annual estimate[123],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-143,,
Republic of the Congo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/40px-Flag_of_the_Republic_of_the_Congo.svg.png,https://en.wikipedia.org/wiki/Republic_of_the_Congo,"6,142,180",0.08%,17 May 2023,2023 census result[124],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-144,,
Paraguay,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Paraguay.svg/40px-Flag_of_Paraguay.svg.png,https://en.wikipedia.org/wiki/Paraguay,"6,109,644",0.07%,10 Nov 2022,Preliminary census result[125],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-145,,
Singapore,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Singapore.svg/40px-Flag_of_Singapore.svg.png,https://en.wikipedia.org/wiki/Singapore,"6,036,900",0.07%,30 Jun 2024,Official estimate[126],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-146,,
El Salvador,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/40px-Flag_of_El_Salvador.svg.png,https://en.wikipedia.org/wiki/El_Salvador,"6,029,976",0.07%,2 May 2024,2024 census result[127],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-147,,
Denmark,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/20px-Flag_of_Denmark.svg.png,https://en.wikipedia.org/wiki/Denmark,"5,992,734",0.07%,1 Jan 2025,National quarterly estimate[128],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-148,[u],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-149
Finland,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/40px-Flag_of_Finland.svg.png,https://en.wikipedia.org/wiki/Finland,"5,639,600",0.07%,28 Feb 2025,Monthly national estimate[129],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-pxnet2.stat.fi-150,[v],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-151
Norway,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/40px-Flag_of_Norway.svg.png,https://en.wikipedia.org/wiki/Norway,"5,594,340",0.07%,31 Dec 2024,National quarterly estimate[130],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-152,[w],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-153
Lebanon,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Lebanon.svg/40px-Flag_of_Lebanon.svg.png,https://en.wikipedia.org/wiki/Lebanon,"5,490,000",0.07%,1 Jul 2021,Official estimate[131],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-154,,
Palestine,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Palestine.svg/40px-Flag_of_Palestine.svg.png,https://en.wikipedia.org/wiki/Palestine,"5,483,450",0.07%,1 Jan 2023,National annual projection[132],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-155,[x],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-156
Slovakia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Slovakia.svg/23px-Flag_of_Slovakia.svg.png,https://en.wikipedia.org/wiki/Slovakia,"5,419,451",0.07%,31 Dec 2024,National quarterly estimate[133],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-157,,
Ireland,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/40px-Flag_of_Ireland.svg.png,https://en.wikipedia.org/wiki/Republic_of_Ireland,"5,380,300",0.07%,1 Apr 2024,National estimate[134],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-158,,
New Zealand,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/40px-Flag_of_New_Zealand.svg.png,https://en.wikipedia.org/wiki/New_Zealand,"5,356,700",0.07%,31 Dec 2024,National quarterly estimate[135],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-159,[y],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-160
Costa Rica,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Costa_Rica.svg/40px-Flag_of_Costa_Rica.svg.png,https://en.wikipedia.org/wiki/Costa_Rica,"5,309,625",0.06%,30 Jun 2024,National annual projection[136],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-161,,
Oman,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Oman.svg/40px-Flag_of_Oman.svg.png,https://en.wikipedia.org/wiki/Oman,"5,274,249",0.06%,31 Jan 2025,Monthly national estimate[137],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-162,,
Liberia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Liberia.svg/40px-Flag_of_Liberia.svg.png,https://en.wikipedia.org/wiki/Liberia,"5,248,621",0.06%,10 Nov 2022,2022 census result[138],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-163,,
Mauritania,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_Mauritania.svg/40px-Flag_of_Mauritania.svg.png,https://en.wikipedia.org/wiki/Mauritania,"4,927,532",0.06%,25 Dec 2023,2023 census result[139],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-164,,
Kuwait,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Kuwait.svg/40px-Flag_of_Kuwait.svg.png,https://en.wikipedia.org/wiki/Kuwait,"4,913,271",0.06%,1 Jan 2024,Official estimate[140],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-165,,
Panama,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Panama.svg/40px-Flag_of_Panama.svg.png,https://en.wikipedia.org/wiki/Panama,"4,064,780",0.05%,8 Jan 2023,2023 census result[141],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-166,,
Croatia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/40px-Flag_of_Croatia.svg.png,https://en.wikipedia.org/wiki/Croatia,"3,859,686",0.05%,1 Jul 2023,Official estimate[142],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-167,,
Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/40px-Flag_of_Georgia.svg.png,https://en.wikipedia.org/wiki/Georgia_(country),"3,694,600",0.05%,1 Jan 2024,Official estimate[143],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-168,[z],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-169
Eritrea,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Eritrea.svg/40px-Flag_of_Eritrea.svg.png,https://en.wikipedia.org/wiki/Eritrea,"3,535,603",0.04%,1 Jul 2024,UN projection[144],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-170,,
Mongolia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Mongolia.svg/40px-Flag_of_Mongolia.svg.png,https://en.wikipedia.org/wiki/Mongolia,"3,504,741",0.04%,31 Dec 2023,National annual projection[145],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-171,,
Uruguay,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Uruguay.svg/40px-Flag_of_Uruguay.svg.png,https://en.wikipedia.org/wiki/Uruguay,"3,499,451",0.04%,31 May 2023,2023 National census[146],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-172,,
Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/40px-Flag_of_Bosnia_and_Herzegovina.svg.png,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,"3,264,873",0.04%,1 Jul 2023,Official estimate[147][148],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-173,,
Puerto Rico (US),https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_Puerto_Rico.svg/40px-Flag_of_Puerto_Rico.svg.png,https://en.wikipedia.org/wiki/Puerto_Rico,"3,203,295",0.04%,1 Jul 2024,Annual projection[149],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-census-175,,
Armenia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/40px-Flag_of_Armenia.svg.png,https://en.wikipedia.org/wiki/Armenia,"3,075,800",0.04%,1 Jan 2024,National quarterly estimate[150],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-176,,
Namibia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Namibia.svg/40px-Flag_of_Namibia.svg.png,https://en.wikipedia.org/wiki/Namibia,"3,022,401",0.04%,24 Sep 2023,2023 National census[151],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-177,,
Lithuania,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/40px-Flag_of_Lithuania.svg.png,https://en.wikipedia.org/wiki/Lithuania,"2,889,402",0.04%,1 Apr 2025,Monthly national estimate[152],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-178,,
Qatar,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Qatar.svg/23px-Flag_of_Qatar.svg.png,https://en.wikipedia.org/wiki/Qatar,"2,857,822",0.03%,30 Jun 2024,Monthly national estimate[153],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-179,,
Jamaica,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/40px-Flag_of_Jamaica.svg.png,https://en.wikipedia.org/wiki/Jamaica,"2,825,544",0.03%,1 Jul 2019,National projection[154],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-180,,
Moldova,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Moldova.svg/40px-Flag_of_Moldova.svg.png,https://en.wikipedia.org/wiki/Moldova,"2,423,300",0.03%,1 Jan 2024,Official estimate[155],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-181,[aa],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-182
Gambia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_The_Gambia.svg/40px-Flag_of_The_Gambia.svg.png,https://en.wikipedia.org/wiki/The_Gambia,"2,417,471",0.03%,1 Jul 2022,National projection[156],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-183,,
Botswana,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Botswana.svg/40px-Flag_of_Botswana.svg.png,https://en.wikipedia.org/wiki/Botswana,"2,410,338",0.03%,1 Jul 2021,National annual projection[157],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-184,,
Gabon,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Gabon.svg/20px-Flag_of_Gabon.svg.png,https://en.wikipedia.org/wiki/Gabon,"2,408,586",0.03%,1 Jul 2024,National annual projection[158],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-185,,
Albania,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/40px-Flag_of_Albania.svg.png,https://en.wikipedia.org/wiki/Albania,"2,402,113",0.03%,18 Sep 2023,2023 national census[159],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-186,,
Lesotho,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flag_of_Lesotho.svg/40px-Flag_of_Lesotho.svg.png,https://en.wikipedia.org/wiki/Lesotho,"2,306,000",0.03%,1 Jul 2023,Official projection[160],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-187,,
Slovenia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Slovenia.svg/23px-Flag_of_Slovenia.svg.png,https://en.wikipedia.org/wiki/Slovenia,"2,129,052",0.03%,1 Oct 2024,National quarterly estimate[161],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-188,,
Latvia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/40px-Flag_of_Latvia.svg.png,https://en.wikipedia.org/wiki/Latvia,"1,850,100",0.02%,1 Feb 2025,Monthly national estimate[162],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-189,,
North Macedonia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_North_Macedonia.svg/40px-Flag_of_North_Macedonia.svg.png,https://en.wikipedia.org/wiki/North_Macedonia,"1,826,247",0.02%,31 Dec 2023,Official estimate[163],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-190,,
Guinea-Bissau,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Guinea-Bissau.svg/40px-Flag_of_Guinea-Bissau.svg.png,https://en.wikipedia.org/wiki/Guinea-Bissau,"1,781,308",0.02%,1 Jul 2023,National annual projection[164],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-191,,
Bahrain,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/40px-Flag_of_Bahrain.svg.png,https://en.wikipedia.org/wiki/Bahrain,"1,588,670",0.02%,1 Jul 2024,Official estimate[165],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-192,,
Kosovo,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Kosovo.svg/40px-Flag_of_Kosovo.svg.png,https://en.wikipedia.org/wiki/Kosovo,"1,585,566",0.02%,4 Apr 2024,2024 national census[166],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-193,,
Equatorial Guinea,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Equatorial_Guinea.svg/40px-Flag_of_Equatorial_Guinea.svg.png,https://en.wikipedia.org/wiki/Equatorial_Guinea,"1,558,160",0.02%,1 Jul 2022,Official estimate[167],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-194,,
Timor-Leste,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flag_of_East_Timor.svg/40px-Flag_of_East_Timor.svg.png,https://en.wikipedia.org/wiki/Timor-Leste,"1,373,024",0.02%,1 Jul 2024,National annual projection[168],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-195,,
Estonia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/40px-Flag_of_Estonia.svg.png,https://en.wikipedia.org/wiki/Estonia,"1,369,285",0.02%,1 Jan 2025,Official estimate[169],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-196,,
Trinidad and Tobago,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Trinidad_and_Tobago.svg/40px-Flag_of_Trinidad_and_Tobago.svg.png,https://en.wikipedia.org/wiki/Trinidad_and_Tobago,"1,368,333",0.02%,30 Jun 2024,Official estimate[170],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-197,,
Mauritius,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Mauritius.svg/40px-Flag_of_Mauritius.svg.png,https://en.wikipedia.org/wiki/Mauritius,"1,244,477",0.02%,31 Dec 2024,National estimate[171],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-198,,
